year,parent_entity,parent_type,lei,total_emissions_MtCO2e
1995,BASF,Investor-owned Company,529900PM64WH8AF1E917,23.49362920135695500000
1996,BASF,Investor-owned Company,529900PM64WH8AF1E917,27.77351682295846900000
1997,BASF,Investor-owned Company,529900PM64WH8AF1E917,24.06355964954206500000
1998,BASF,Investor-owned Company,529900PM64WH8AF1E917,26.31044625006869450000
1999,BASF,Investor-owned Company,529900PM64WH8AF1E917,31.77298702697680000000
2000,BASF,Investor-owned Company,529900PM64WH8AF1E917,32.90066882747028700000
2001,BASF,Investor-owned Company,529900PM64WH8AF1E917,37.48428641980609400000
2002,BASF,Investor-owned Company,529900PM64WH8AF1E917,37.70295759089162700000
2003,BASF,Investor-owned Company,529900PM64WH8AF1E917,42.53957229937879000000
2004,BASF,Investor-owned Company,529900PM64WH8AF1E917,44.36295422546699190150
2005,BASF,Investor-owned Company,529900PM64WH8AF1E917,46.07711241504651929900
2006,BASF,Investor-owned Company,529900PM64WH8AF1E917,62.89521846441341316600
2007,BASF,Investor-owned Company,529900PM64WH8AF1E917,62.19482586983815278400
2008,BASF,Investor-owned Company,529900PM64WH8AF1E917,66.07735986889940900000
2009,BASF,Investor-owned Company,529900PM64WH8AF1E917,70.24991382049123800000
2010,BASF,Investor-owned Company,529900PM64WH8AF1E917,69.30988445755670400000
2011,BASF,Investor-owned Company,529900PM64WH8AF1E917,55.37306873628381300000
2012,BASF,Investor-owned Company,529900PM64WH8AF1E917,57.24736664591901000000
2013,BASF,Investor-owned Company,529900PM64WH8AF1E917,63.21700602790912100000
2014,BASF,Investor-owned Company,529900PM64WH8AF1E917,72.12706525739850500000
2015,BASF,Investor-owned Company,529900PM64WH8AF1E917,81.03712449417691700000
2016,BASF,Investor-owned Company,529900PM64WH8AF1E917,89.93468430508289100000
2017,BASF,Investor-owned Company,529900PM64WH8AF1E917,87.65001411072700400000
2018,BASF,Investor-owned Company,529900PM64WH8AF1E917,91.48818985802542600000
2019,BASF,Investor-owned Company,529900PM64WH8AF1E917,96.05990851582550700000
2020,BASF,Investor-owned Company,529900PM64WH8AF1E917,96.99404052732464300000
2021,BASF,Investor-owned Company,529900PM64WH8AF1E917,98.75450486820739700000
2022,BASF,Investor-owned Company,529900PM64WH8AF1E917,92.96246333030014300000
2023,BASF,Investor-owned Company,529900PM64WH8AF1E917,49.96988488402348300000
1955,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,5.72973199159652200000
1956,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,6.06677504992573000000
1957,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,7.24642575407795300000
1958,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,7.63161782073990600000
1959,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,8.11310790406734500000
1960,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,8.49829997072929500000
1961,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,8.69089600406027000000
1962,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,10.03906823737710000000
1963,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,10.49648381653816800000
1964,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,11.36316596652755700000
1965,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,12.83171072067624500000
1966,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,14.32432997899130600000
1967,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,14.25210646649219000000
1968,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,14.68544754148688400000
1969,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,16.19264487787431575300
1970,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,22.65548410373127875000
1971,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,32.37510533007300780000
1972,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,44.02988283211487330000
1973,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,44.58552071852904336000
1974,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,51.00801064446765536000
1975,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,49.12020903156447120000
1976,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,55.98614183526868000000
1977,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,58.94233617081586050000
1978,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,62.90462717422434940000
1979,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,59.58080442954628100000
1980,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,54.03996340774691800000
1981,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,57.69645465735337500000
1982,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,97.87001642914465000000
1983,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,109.17782834398734200000
1984,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,91.15310032812993200000
1985,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,135.73955239837056850000
1986,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,146.14185128533294100000
1987,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,147.10855453996787860000
1988,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,142.81129291305980530000
1989,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,144.35642978695173800000
1990,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,152.47512260391197200000
1991,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,167.09316960101265300000
1992,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,162.54841927049973600000
1993,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,195.51526506855063500000
1994,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,188.63830643774804800000
1995,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,205.05166599071081000000
1996,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,176.76940243800282900000
1997,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,186.97057429223151300000
1998,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,201.69725566366308100000
1999,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,285.88214752934318200000
2000,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,367.40990827341635600000
2001,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,377.97498590809161600000
2002,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,344.19893509622732600000
2003,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,347.06613267730121000000
2004,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,360.62913072870147200000
2005,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,367.47367102668417400000
2006,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,358.01452535201333800000
2007,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,368.82307275246332500000
2008,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,350.23882128786526700000
2009,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,322.71624523601006700000
2010,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,333.18867032342701500000
2011,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,327.78359049574519800000
2012,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,361.02103402982663600000
2013,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,384.04391011074860000000
2014,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,317.08826344817090000000
2015,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,330.62970971691977600000
2016,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,308.79094525056067000000
2017,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,275.85611963611249000000
2018,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,276.37215756002868500000
2019,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,252.81140716388850200000
2020,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,222.57077283591727800000
2021,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,209.41208761334381600000
2022,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,191.91030939312200800000
2023,BHP,Investor-owned Company,WZE1WSENV6JSZFK0JC28,119.67076402372817000000
1913,BP,Investor-owned Company,213800LH1BZH3DI6G760,1.74664718831273040000
1914,BP,Investor-owned Company,213800LH1BZH3DI6G760,2.03131619409396170000
1915,BP,Investor-owned Company,213800LH1BZH3DI6G760,2.31598519947641450000
1916,BP,Investor-owned Company,213800LH1BZH3DI6G760,2.60065420525764600000
1917,BP,Investor-owned Company,213800LH1BZH3DI6G760,2.88532321064009970000
1918,BP,Investor-owned Company,213800LH1BZH3DI6G760,3.28599505936316800000
1919,BP,Investor-owned Company,213800LH1BZH3DI6G760,4.18704895429523810000
1920,BP,Investor-owned Company,213800LH1BZH3DI6G760,6.92956943499101566000
1921,BP,Investor-owned Company,213800LH1BZH3DI6G760,10.98097812754435597000
1922,BP,Investor-owned Company,213800LH1BZH3DI6G760,15.17536902853026748000
1923,BP,Investor-owned Company,213800LH1BZH3DI6G760,18.54353171643236470000
1924,BP,Investor-owned Company,213800LH1BZH3DI6G760,21.27435289681830167000
1925,BP,Investor-owned Company,213800LH1BZH3DI6G760,28.70153335424550580000
1926,BP,Investor-owned Company,213800LH1BZH3DI6G760,35.99613167087424000000
1927,BP,Investor-owned Company,213800LH1BZH3DI6G760,43.50846272464006610000
1928,BP,Investor-owned Company,213800LH1BZH3DI6G760,45.65470594850286930000
1929,BP,Investor-owned Company,213800LH1BZH3DI6G760,45.19154285186437000000
1930,BP,Investor-owned Company,213800LH1BZH3DI6G760,46.87948956284978060000
1931,BP,Investor-owned Company,213800LH1BZH3DI6G760,39.46481746984405000000
1932,BP,Investor-owned Company,213800LH1BZH3DI6G760,32.13532288199204140000
1933,BP,Investor-owned Company,213800LH1BZH3DI6G760,27.59071749731491540000
1934,BP,Investor-owned Company,213800LH1BZH3DI6G760,30.34877462790785150000
1935,BP,Investor-owned Company,213800LH1BZH3DI6G760,32.59699681941913210000
1936,BP,Investor-owned Company,213800LH1BZH3DI6G760,38.54879198595591080000
1937,BP,Investor-owned Company,213800LH1BZH3DI6G760,47.01972440690012800000
1938,BP,Investor-owned Company,213800LH1BZH3DI6G760,46.15357526303402270000
1939,BP,Investor-owned Company,213800LH1BZH3DI6G760,44.64617330306462134000
1940,BP,Investor-owned Company,213800LH1BZH3DI6G760,42.53705067464872663000
1941,BP,Investor-owned Company,213800LH1BZH3DI6G760,42.79841547965560637000
1942,BP,Investor-owned Company,213800LH1BZH3DI6G760,52.58706448895874520000
1943,BP,Investor-owned Company,213800LH1BZH3DI6G760,59.39391839110632370000
1944,BP,Investor-owned Company,213800LH1BZH3DI6G760,77.85067879897570543000
1945,BP,Investor-owned Company,213800LH1BZH3DI6G760,91.26645247272946760000
1946,BP,Investor-owned Company,213800LH1BZH3DI6G760,107.68357944251564940000
1947,BP,Investor-owned Company,213800LH1BZH3DI6G760,115.16708581169313870000
1948,BP,Investor-owned Company,213800LH1BZH3DI6G760,138.89403006851706060000
1949,BP,Investor-owned Company,213800LH1BZH3DI6G760,139.79582677409716600000
1950,BP,Investor-owned Company,213800LH1BZH3DI6G760,190.95107606948323900000
1951,BP,Investor-owned Company,213800LH1BZH3DI6G760,178.72311314322223900000
1952,BP,Investor-owned Company,213800LH1BZH3DI6G760,161.49346041345271600000
1953,BP,Investor-owned Company,213800LH1BZH3DI6G760,186.10195163274741050000
1954,BP,Investor-owned Company,213800LH1BZH3DI6G760,197.18656745669407650000
1955,BP,Investor-owned Company,213800LH1BZH3DI6G760,243.81315135571279262400
1956,BP,Investor-owned Company,213800LH1BZH3DI6G760,268.75710754972932340000
1957,BP,Investor-owned Company,213800LH1BZH3DI6G760,270.36842610206960534000
1958,BP,Investor-owned Company,213800LH1BZH3DI6G760,305.72799161535149423000
1959,BP,Investor-owned Company,213800LH1BZH3DI6G760,321.24440023907627015000
1960,BP,Investor-owned Company,213800LH1BZH3DI6G760,375.74804287952476580000
1961,BP,Investor-owned Company,213800LH1BZH3DI6G760,395.67556071125695420000
1962,BP,Investor-owned Company,213800LH1BZH3DI6G760,426.72541309084690710000
1963,BP,Investor-owned Company,213800LH1BZH3DI6G760,449.50303263313898420000
1964,BP,Investor-owned Company,213800LH1BZH3DI6G760,508.58466141040688895000
1965,BP,Investor-owned Company,213800LH1BZH3DI6G760,545.29178498765886950000
1966,BP,Investor-owned Company,213800LH1BZH3DI6G760,610.64372393190929170000
1967,BP,Investor-owned Company,213800LH1BZH3DI6G760,661.44747481887786200000
1968,BP,Investor-owned Company,213800LH1BZH3DI6G760,722.71924294207548300000
1969,BP,Investor-owned Company,213800LH1BZH3DI6G760,804.49371831133441400000
1970,BP,Investor-owned Company,213800LH1BZH3DI6G760,903.28212540268700000000
1971,BP,Investor-owned Company,213800LH1BZH3DI6G760,966.46575059350821900000
1972,BP,Investor-owned Company,213800LH1BZH3DI6G760,1046.77679280650239600000
1973,BP,Investor-owned Company,213800LH1BZH3DI6G760,1046.85088999628542050000
1974,BP,Investor-owned Company,213800LH1BZH3DI6G760,976.31718081464956900000
1975,BP,Investor-owned Company,213800LH1BZH3DI6G760,830.07413185786248440000
1976,BP,Investor-owned Company,213800LH1BZH3DI6G760,836.85095970577873140000
1977,BP,Investor-owned Company,213800LH1BZH3DI6G760,859.81110243588400860000
1978,BP,Investor-owned Company,213800LH1BZH3DI6G760,968.02207908714304300000
1979,BP,Investor-owned Company,213800LH1BZH3DI6G760,913.59976941848431260000
1980,BP,Investor-owned Company,213800LH1BZH3DI6G760,758.80987423297877800000
1981,BP,Investor-owned Company,213800LH1BZH3DI6G760,740.16861270921439970000
1982,BP,Investor-owned Company,213800LH1BZH3DI6G760,726.28515291778732360000
1983,BP,Investor-owned Company,213800LH1BZH3DI6G760,696.63888080722665140000
1984,BP,Investor-owned Company,213800LH1BZH3DI6G760,698.89572770833929510000
1985,BP,Investor-owned Company,213800LH1BZH3DI6G760,674.52517496737756200000
1986,BP,Investor-owned Company,213800LH1BZH3DI6G760,645.42515784244386700000
1987,BP,Investor-owned Company,213800LH1BZH3DI6G760,657.85043926233354500000
1988,BP,Investor-owned Company,213800LH1BZH3DI6G760,579.78386972086708200000
1989,BP,Investor-owned Company,213800LH1BZH3DI6G760,585.96755471163821100000
1990,BP,Investor-owned Company,213800LH1BZH3DI6G760,505.49016269500856600000
1991,BP,Investor-owned Company,213800LH1BZH3DI6G760,491.53382349882156600000
1992,BP,Investor-owned Company,213800LH1BZH3DI6G760,477.32723647037350000000
1993,BP,Investor-owned Company,213800LH1BZH3DI6G760,479.44694365675600700000
1994,BP,Investor-owned Company,213800LH1BZH3DI6G760,485.81078334197059500000
1995,BP,Investor-owned Company,213800LH1BZH3DI6G760,478.34101066516009100000
1996,BP,Investor-owned Company,213800LH1BZH3DI6G760,495.99573782675633800000
1997,BP,Investor-owned Company,213800LH1BZH3DI6G760,493.87111128407513600000
1998,BP,Investor-owned Company,213800LH1BZH3DI6G760,539.24239461376601500000
1999,BP,Investor-owned Company,213800LH1BZH3DI6G760,499.94175870804170000000
2000,BP,Investor-owned Company,213800LH1BZH3DI6G760,483.06536938500528000000
2001,BP,Investor-owned Company,213800LH1BZH3DI6G760,510.71893849124398000000
2002,BP,Investor-owned Company,213800LH1BZH3DI6G760,540.04900447115529200000
2003,BP,Investor-owned Company,213800LH1BZH3DI6G760,554.17035681402350400000
2004,BP,Investor-owned Company,213800LH1BZH3DI6G760,594.61925387669305000000
2005,BP,Investor-owned Company,213800LH1BZH3DI6G760,597.02963137375064000000
2006,BP,Investor-owned Company,213800LH1BZH3DI6G760,584.18020431110887000000
2007,BP,Investor-owned Company,213800LH1BZH3DI6G760,568.01164649709770000000
2008,BP,Investor-owned Company,213800LH1BZH3DI6G760,571.20099894050162000000
2009,BP,Investor-owned Company,213800LH1BZH3DI6G760,594.72257974145339000000
2010,BP,Investor-owned Company,213800LH1BZH3DI6G760,569.05357726309678000000
2011,BP,Investor-owned Company,213800LH1BZH3DI6G760,487.37117309736484000000
2012,BP,Investor-owned Company,213800LH1BZH3DI6G760,495.94959435087980000000
2013,BP,Investor-owned Company,213800LH1BZH3DI6G760,480.97686669525510000000
2014,BP,Investor-owned Company,213800LH1BZH3DI6G760,469.37787427927060000000
2015,BP,Investor-owned Company,213800LH1BZH3DI6G760,487.77706795185450000000
2016,BP,Investor-owned Company,213800LH1BZH3DI6G760,486.32477528270558000000
2017,BP,Investor-owned Company,213800LH1BZH3DI6G760,535.77909868786614000000
2018,BP,Investor-owned Company,213800LH1BZH3DI6G760,549.30790069418464000000
2019,BP,Investor-owned Company,213800LH1BZH3DI6G760,563.97838601844868000000
2020,BP,Investor-owned Company,213800LH1BZH3DI6G760,517.60651587911803000000
2021,BP,Investor-owned Company,213800LH1BZH3DI6G760,494.55423752878568000000
2022,BP,Investor-owned Company,213800LH1BZH3DI6G760,365.62452549950473000000
2023,BP,Investor-owned Company,213800LH1BZH3DI6G760,347.03770237623923000000
1947,British Coal Corporation (1947-1994),State-owned Entity,,542.82780524936640000000
1948,British Coal Corporation (1947-1994),State-owned Entity,,560.56018013037440000000
1949,British Coal Corporation (1947-1994),State-owned Entity,,578.29255528279650000000
1950,British Coal Corporation (1947-1994),State-owned Entity,,596.02493016380420000000
1951,British Coal Corporation (1947-1994),State-owned Entity,,599.06476587320070000000
1952,British Coal Corporation (1947-1994),State-owned Entity,,602.10460158259730000000
1953,British Coal Corporation (1947-1994),State-owned Entity,,605.14443729199380000000
1954,British Coal Corporation (1947-1994),State-owned Entity,,608.18427300139020000000
1955,British Coal Corporation (1947-1994),State-owned Entity,,611.22410871078660000000
1956,British Coal Corporation (1947-1994),State-owned Entity,,595.75351626117960000000
1957,British Coal Corporation (1947-1994),State-owned Entity,,580.28292381157270000000
1958,British Coal Corporation (1947-1994),State-owned Entity,,564.81233136196580000000
1959,British Coal Corporation (1947-1994),State-owned Entity,,549.34173891235880000000
1960,British Coal Corporation (1947-1994),State-owned Entity,,533.87114646275180000000
1961,British Coal Corporation (1947-1994),State-owned Entity,,527.90004060500880000000
1962,British Coal Corporation (1947-1994),State-owned Entity,,521.92893474726580000000
1963,British Coal Corporation (1947-1994),State-owned Entity,,515.95782888952270000000
1964,British Coal Corporation (1947-1994),State-owned Entity,,509.98672303177970000000
1965,British Coal Corporation (1947-1994),State-owned Entity,,504.01561717403670000000
1966,British Coal Corporation (1947-1994),State-owned Entity,,481.75967715881270000000
1967,British Coal Corporation (1947-1994),State-owned Entity,,459.50373714358864000000
1968,British Coal Corporation (1947-1994),State-owned Entity,,437.24779712836465000000
1969,British Coal Corporation (1947-1994),State-owned Entity,,414.99185711314060000000
1970,British Coal Corporation (1947-1994),State-owned Entity,,392.73591709791650000000
1971,British Coal Corporation (1947-1994),State-owned Entity,,382.47647157870350000000
1972,British Coal Corporation (1947-1994),State-owned Entity,,372.21702605949054000000
1973,British Coal Corporation (1947-1994),State-owned Entity,,361.95758054027755000000
1974,British Coal Corporation (1947-1994),State-owned Entity,,351.69813502106456000000
1975,British Coal Corporation (1947-1994),State-owned Entity,,341.43868950185146000000
1976,British Coal Corporation (1947-1994),State-owned Entity,,327.86799437061730000000
1977,British Coal Corporation (1947-1994),State-owned Entity,,328.13940827324200000000
1978,British Coal Corporation (1947-1994),State-owned Entity,,325.42526924699520000000
1979,British Coal Corporation (1947-1994),State-owned Entity,,334.65334193623437000000
1980,British Coal Corporation (1947-1994),State-owned Entity,,343.61000072284895000000
1981,British Coal Corporation (1947-1994),State-owned Entity,,337.36748096248120000000
1982,British Coal Corporation (1947-1994),State-owned Entity,,328.13940827324200000000
1983,British Coal Corporation (1947-1994),State-owned Entity,,285.79883946379140000000
1984,British Coal Corporation (1947-1994),State-owned Entity,,115.89373642073974000000
1985,British Coal Corporation (1947-1994),State-owned Entity,,283.62752824279397000000
1986,British Coal Corporation (1947-1994),State-owned Entity,,280.37056141129773000000
1987,British Coal Corporation (1947-1994),State-owned Entity,,270.32824701418446000000
1988,British Coal Corporation (1947-1994),State-owned Entity,,280.91338921654710000000
1989,British Coal Corporation (1947-1994),State-owned Entity,,255.94331017507625000000
1990,British Coal Corporation (1947-1994),State-owned Entity,,248.61513480420982000000
1991,British Coal Corporation (1947-1994),State-owned Entity,,247.25806529108638000000
1992,British Coal Corporation (1947-1994),State-owned Entity,,208.44587721575670000000
1993,British Coal Corporation (1947-1994),State-owned Entity,,152.53461327507196000000
1994,British Coal Corporation (1947-1994),State-owned Entity,,87.12386274252331000000
1990,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,14.21656921365169700000
1991,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,19.19236843842979200000
1992,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,31.51339509026126100000
1993,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,33.47291221354292100000
1994,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,35.43242933682458100000
1995,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,44.50023106693209100000
1996,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,46.45974819021374600000
1997,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,48.41926531349540800000
1998,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,50.37878243677706900000
1999,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,52.33829956005872600000
2000,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,54.29781668334038200000
2001,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,64.12552789704657800000
2002,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,73.95323908705851000000
2003,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,83.78095030076470100000
2004,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,93.60866149077663000000
2005,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,103.43637270448282000000
2006,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,113.26408389449475000000
2007,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,123.09179510820096000000
2008,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,125.12950336215770000000
2009,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,149.51091956357035000000
2010,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,143.35040623765462000000
2011,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,156.14531852994116000000
2012,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,161.12111775471925000000
2013,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,194.29311258657320000000
2014,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,199.97974027203390000000
2015,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,192.39757002475295000000
2016,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,205.66636795749457000000
2017,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,198.08419771021363000000
2018,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,197.37336924953107000000
2019,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,204.48165385635690000000
2020,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,191.92368438429790000000
2021,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,186.71094233929230000000
2022,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,170.36188774359286000000
2023,Bumi Resources,Investor-owned Company,529900UUMEQCPSDKFD75,184.34151413701701000000
1989,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,0.38760220348450291000
1990,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,1.94885235472452260000
1991,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,3.51010250596454230000
1992,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,5.07135265720456070000
1993,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,6.63260280844458040000
1994,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,8.19385295968460030000
1995,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,10.57783436886235170000
1996,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,18.78033150629707400000
1997,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,26.92934585898528700000
1998,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,28.94073857727159600000
1999,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,31.82601007417644000000
2000,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,46.45074826130052600000
2001,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,54.40749316457818800000
2002,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,64.07144619518364800000
2003,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,69.78393686518617600000
2004,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,78.11949242282583400000
2005,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,83.84296501019338500000
2006,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,88.01855432657173500000
2007,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,92.55547907105717800000
2008,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,85.76950638626765100000
2009,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,86.65721110151089000000
2010,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,94.93042690795923400000
2011,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,80.07858825702688000000
2012,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,88.27241527519140400000
2013,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,100.38336096203092000000
2014,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,118.65990139246176000000
2015,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,128.01263487475628000000
2016,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,121.25930284350796000000
2017,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,143.92194117139030000000
2018,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,160.68430682931160500000
2019,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,163.38888629625586500000
2020,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,172.91408380194565000000
2021,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,183.66280586325693000000
2022,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,191.40625317884729000000
2023,Canadian Natural Resources,Investor-owned Company,549300T15RIMIKZC5Q38,198.99686894698889400000
1990,Cemex,Investor-owned Company,549300RIG2CXWN6IV731,23.51097000000000400000
1991,Cemex,Investor-owned Company,549300RIG2CXWN6IV731,23.54582160000000000000
1992,Cemex,Investor-owned Company,549300RIG2CXWN6IV731,23.57989665000000000000
1993,Cemex,Investor-owned Company,549300RIG2CXWN6IV731,23.61435214499999800000
